x,y1,y2,y3
-0.766,0.108473232,-5.93E-01,-5.48E-01
-0.764,0.096812593,-5.90E-01,-5.45E-01
-0.762,0.085062324,-5.86E-01,-5.43E-01
-0.76,0.073231811,-5.83E-01,-5.41E-01
-0.758,0.061330474,-5.80E-01,-5.39E-01
-0.756,0.049367764,-5.76E-01,-5.37E-01
-0.754,0.037353156,-5.73E-01,-5.34E-01
-0.752,0.025296144,-5.69E-01,-5.32E-01
-0.75,0.013206233,-5.66E-01,-5.30E-01
-0.748,0.001092935,-5.62E-01,-5.28E-01
-0.746,-0.011034239,-5.59E-01,-5.26E-01
-0.744,-0.023165783,-5.55E-01,-5.25E-01
-0.742,-0.035292201,-5.51E-01,-5.23E-01
-0.74,-0.047404019,-5.48E-01,-5.21E-01
-0.738,-0.059491783,-5.44E-01,-5.19E-01
-0.736,-0.071546071,-5.40E-01,-5.17E-01
-0.734,-0.083557497,-5.37E-01,-5.16E-01
-0.732,-0.095516715,-5.33E-01,-5.14E-01
-0.73,-0.107414428,-5.30E-01,-5.13E-01
-0.728,-0.119241391,-5.26E-01,-5.11E-01
-0.726,-0.130988421,-5.22E-01,-5.10E-01
-0.724,-0.142646399,-5.19E-01,-5.08E-01
-0.722,-0.154206275,-5.15E-01,-5.07E-01
-0.72,-0.165659079,-5.12E-01,-5.05E-01
-0.718,-0.176995921,-5.08E-01,-5.04E-01
-0.716,-0.188208,-5.05E-01,-5.03E-01
-0.714,-0.199286607,-5.01E-01,-5.02E-01
-0.712,-0.210223135,-4.98E-01,-5.00E-01
-0.71,-0.221009079,-4.94E-01,-4.99E-01
-0.708,-0.231636044,-4.91E-01,-4.98E-01
-0.706,-0.242095753,-4.88E-01,-4.97E-01
-0.704,-0.252380045,-4.85E-01,-4.96E-01
-0.702,-0.262480887,-4.81E-01,-4.95E-01
-0.7,-0.272390378,-4.78E-01,-4.94E-01
-0.698,-0.28210075,-4.75E-01,-4.93E-01
-0.696,-0.291604378,-4.72E-01,-4.91E-01
-0.694,-0.300893779,-4.69E-01,-4.90E-01
-0.692,-0.309961624,-4.66E-01,-4.89E-01
-0.69,-0.318800737,-4.63E-01,-4.88E-01
-0.688,-0.3274041,-4.60E-01,-4.87E-01
-0.686,-0.335764862,-4.57E-01,-4.86E-01
-0.684,-0.343876336,-4.54E-01,-4.85E-01
-0.682,-0.351732012,-4.52E-01,-4.84E-01
-0.68,-0.359325551,-4.49E-01,-4.83E-01
-0.678,-0.3666508,-4.47E-01,-4.82E-01
-0.676,-0.373701786,-4.44E-01,-4.81E-01
-0.674,-0.380472726,-4.42E-01,-4.80E-01
-0.672,-0.386958029,-4.39E-01,-4.79E-01
-0.67,-0.393152298,-4.37E-01,-4.78E-01
-0.668,-0.399050336,-4.34E-01,-4.77E-01
-0.666,-0.404647148,-4.32E-01,-4.76E-01
-0.664,-0.409937943,-4.30E-01,-4.75E-01
-0.662,-0.414918139,-4.28E-01,-4.74E-01
-0.66,-0.419583365,-4.26E-01,-4.73E-01
-0.658,-0.423929464,-4.24E-01,-4.71E-01
-0.656,-0.427952495,-4.22E-01,-4.70E-01
-0.654,-0.431648736,-4.20E-01,-4.69E-01
-0.652,-0.435014687,-4.19E-01,-4.68E-01
-0.65,-0.438047072,-4.17E-01,-4.66E-01
-0.648,-0.440742838,-4.15E-01,-4.65E-01
-0.646,-0.443099163,-4.14E-01,-4.64E-01
-0.644,-0.445113452,-4.12E-01,-4.62E-01
-0.642,-0.446783341,-4.11E-01,-4.61E-01
-0.64,-0.448106701,-4.10E-01,-4.59E-01
-0.638,-0.449081633,-4.08E-01,-4.58E-01
-0.636,-0.449706476,-4.07E-01,-4.56E-01
-0.634,-0.449979804,-4.06E-01,-4.55E-01
-0.632,-0.449900429,-4.05E-01,-4.53E-01
-0.63,-0.449467398,-4.04E-01,-4.52E-01
-0.628,-0.44868,-4.03E-01,-4.50E-01
-0.626,-0.44753776,-4.02E-01,-4.48E-01
-0.624,-0.446040443,-4.01E-01,-4.47E-01
-0.622,-0.444188054,-4.00E-01,-4.45E-01
-0.62,-0.441980837,-3.99E-01,-4.43E-01
-0.618,-0.439419274,-3.99E-01,-4.41E-01
-0.616,-0.436504087,-3.98E-01,-4.39E-01
-0.614,-0.433236236,-3.97E-01,-4.38E-01
-0.612,-0.429616919,-3.97E-01,-4.36E-01
-0.61,-0.42564757,-3.96E-01,-4.34E-01
-0.608,-0.42132986,-3.96E-01,-4.32E-01
-0.606,-0.416665695,-3.95E-01,-4.30E-01
-0.604,-0.411657215,-3.95E-01,-4.28E-01
-0.602,-0.406306792,-3.95E-01,-4.26E-01
-0.6,-0.40061703,-3.94E-01,-4.24E-01
-0.598,-0.39459076,-3.94E-01,-4.22E-01
-0.596,-0.388231043,-3.94E-01,-4.20E-01
-0.594,-0.381541165,-3.94E-01,-4.17E-01
-0.592,-0.374524635,-3.94E-01,-4.15E-01
-0.59,-0.367185183,-3.93E-01,-4.13E-01
-0.588,-0.359526761,-3.93E-01,-4.11E-01
-0.586,-0.351553533,-3.93E-01,-4.09E-01
-0.584,-0.34326988,-3.93E-01,-4.07E-01
-0.582,-0.334680394,-3.93E-01,-4.05E-01
-0.58,-0.325789873,-3.93E-01,-4.03E-01
-0.578,-0.316603322,-3.93E-01,-4.01E-01
-0.576,-0.307125949,-3.94E-01,-3.99E-01
-0.574,-0.297363158,-3.94E-01,-3.96E-01
-0.572,-0.287320551,-3.94E-01,-3.94E-01
-0.57,-0.277003919,-3.94E-01,-3.92E-01
-0.568,-0.266419244,-3.94E-01,-3.90E-01
-0.566,-0.25557269,-3.94E-01,-3.88E-01
-0.564,-0.244470604,-3.94E-01,-3.86E-01
-0.562,-0.233119507,-3.95E-01,-3.84E-01
-0.56,-0.221526094,-3.95E-01,-3.82E-01
-0.558,-0.209697226,-3.95E-01,-3.81E-01
-0.556,-0.197639931,-3.95E-01,-3.79E-01
-0.554,-0.185361394,-3.96E-01,-3.77E-01
-0.552,-0.172868956,-3.96E-01,-3.75E-01
-0.55,-0.160170106,-3.96E-01,-3.73E-01
-0.548,-0.147272482,-3.96E-01,-3.72E-01
-0.546,-0.13418386,-3.97E-01,-3.70E-01
-0.544,-0.120912152,-3.97E-01,-3.68E-01
-0.542,-0.107465401,-3.97E-01,-3.67E-01
-0.54,-0.093851777,-3.97E-01,-3.65E-01
-0.538,-0.080079568,-3.97E-01,-3.64E-01
-0.536,-0.06615718,-3.98E-01,-3.63E-01
-0.534,-0.052093126,-3.98E-01,-3.61E-01
-0.532,-0.037896025,-3.98E-01,-3.60E-01
-0.53,-0.023574596,-3.98E-01,-3.59E-01
-0.528,-0.009137651,-3.99E-01,-3.58E-01
-0.526,0.00540591,-3.99E-01,-3.57E-01
-0.524,0.020047106,-3.99E-01,-3.56E-01
-0.522,0.034776878,-3.99E-01,-3.55E-01
-0.52,0.049586094,-3.99E-01,-3.54E-01
-0.518,0.064465561,-3.99E-01,-3.53E-01
-0.516,0.079406023,-4.00E-01,-3.53E-01
-0.514,0.094398171,-4.00E-01,-3.52E-01
-0.512,0.10943265,-4.00E-01,-3.51E-01
-0.51,0.124500062,-4.00E-01,-3.51E-01
-0.508,0.139590972,-4.00E-01,-3.51E-01
-0.506,0.154695917,-4.00E-01,-3.50E-01
-0.504,0.169805409,-4.00E-01,-3.50E-01
-0.502,0.184909943,-4.00E-01,-3.50E-01
-0.5,0.2,-4.00E-01,-3.50E-01
-0.498,0.215066057,-4.00E-01,-3.50E-01
-0.496,0.230098591,-4.00E-01,-3.50E-01
-0.494,0.245088084,-4.00E-01,-3.50E-01
-0.492,0.26002503,-4.00E-01,-3.51E-01
-0.49,0.274899942,-4.00E-01,-3.51E-01
-0.488,0.289703357,-4.00E-01,-3.51E-01
-0.486,0.304425842,-4.00E-01,-3.52E-01
-0.484,0.319057999,-4.00E-01,-3.53E-01
-0.482,0.333590474,-3.99E-01,-3.53E-01
-0.48,0.348013959,-3.99E-01,-3.54E-01
-0.478,0.3623192,-3.99E-01,-3.55E-01
-0.476,0.376497004,-3.99E-01,-3.56E-01
-0.474,0.390538242,-3.99E-01,-3.57E-01
-0.472,0.404433856,-3.99E-01,-3.58E-01
-0.47,0.418174867,-3.98E-01,-3.59E-01
-0.468,0.431752375,-3.98E-01,-3.60E-01
-0.466,0.445157572,-3.98E-01,-3.61E-01
-0.464,0.45838174,-3.98E-01,-3.63E-01
-0.462,0.471416265,-3.97E-01,-3.64E-01
-0.46,0.484252632,-3.97E-01,-3.65E-01
-0.458,0.496882441,-3.97E-01,-3.67E-01
-0.456,0.509297404,-3.97E-01,-3.68E-01
-0.454,0.521489356,-3.97E-01,-3.70E-01
-0.452,0.533450257,-3.96E-01,-3.72E-01
-0.45,0.545172196,-3.96E-01,-3.73E-01
-0.448,0.556647401,-3.96E-01,-3.75E-01
-0.446,0.567868239,-3.96E-01,-3.77E-01
-0.444,0.578827223,-3.95E-01,-3.79E-01
-0.442,0.589517015,-3.95E-01,-3.81E-01
-0.44,0.599930433,-3.95E-01,-3.82E-01
-0.438,0.610060457,-3.95E-01,-3.84E-01
-0.436,0.619900226,-3.94E-01,-3.86E-01
-0.434,0.62944305,-3.94E-01,-3.88E-01
-0.432,0.638682413,-3.94E-01,-3.90E-01
-0.43,0.647611972,-3.94E-01,-3.92E-01
-0.428,0.656225568,-3.94E-01,-3.94E-01
-0.426,0.664517224,-3.94E-01,-3.96E-01
-0.424,0.672481152,-3.94E-01,-3.99E-01
-0.422,0.680111757,-3.93E-01,-4.01E-01
-0.42,0.687403638,-3.93E-01,-4.03E-01
-0.418,0.694351594,-3.93E-01,-4.05E-01
-0.416,0.700950625,-3.93E-01,-4.07E-01
-0.414,0.707195939,-3.93E-01,-4.09E-01
-0.412,0.713082948,-3.93E-01,-4.11E-01
-0.41,0.71860728,-3.93E-01,-4.13E-01
-0.408,0.723764773,-3.94E-01,-4.15E-01
-0.406,0.728551484,-3.94E-01,-4.17E-01
-0.404,0.732963688,-3.94E-01,-4.20E-01
-0.402,0.736997883,-3.94E-01,-4.22E-01
-0.4,0.74065079,-3.94E-01,-4.24E-01
-0.398,0.743919354,-3.95E-01,-4.26E-01
-0.396,0.746800751,-3.95E-01,-4.28E-01
-0.394,0.749292384,-3.95E-01,-4.30E-01
-0.392,0.751391888,-3.96E-01,-4.32E-01
-0.39,0.753097131,-3.96E-01,-4.34E-01
-0.388,0.754406214,-3.97E-01,-4.36E-01
-0.386,0.755317475,-3.97E-01,-4.38E-01
-0.384,0.755829485,-3.98E-01,-4.39E-01
-0.382,0.755941057,-3.99E-01,-4.41E-01
-0.38,0.755651237,-3.99E-01,-4.43E-01
-0.378,0.754959313,-4.00E-01,-4.45E-01
-0.376,0.75386481,-4.01E-01,-4.47E-01
-0.374,0.752367494,-4.02E-01,-4.48E-01
-0.372,0.750467368,-4.03E-01,-4.50E-01
-0.37,0.748164676,-4.04E-01,-4.52E-01
-0.368,0.745459902,-4.05E-01,-4.53E-01
-0.366,0.742353768,-4.06E-01,-4.55E-01
-0.364,0.738847235,-4.07E-01,-4.56E-01
-0.362,0.7349415,-4.08E-01,-4.58E-01
-0.36,0.730638,-4.10E-01,-4.59E-01
-0.358,0.725938407,-4.11E-01,-4.61E-01
-0.356,0.720844628,-4.12E-01,-4.62E-01
-0.354,0.715358804,-4.14E-01,-4.64E-01
-0.352,0.709483309,-4.15E-01,-4.65E-01
-0.35,0.703220748,-4.17E-01,-4.66E-01
-0.348,0.696573956,-4.19E-01,-4.68E-01
-0.346,0.689545995,-4.20E-01,-4.69E-01
-0.344,0.682140154,-4.22E-01,-4.70E-01
-0.342,0.674359944,-4.24E-01,-4.71E-01
-0.34,0.666209098,-4.26E-01,-4.73E-01
-0.338,0.65769157,-4.28E-01,-4.74E-01
-0.336,0.648811529,-4.30E-01,-4.75E-01
-0.334,0.639573358,-4.32E-01,-4.76E-01
-0.332,0.629981651,-4.34E-01,-4.77E-01
-0.33,0.620041213,-4.37E-01,-4.78E-01
-0.328,0.60975705,-4.39E-01,-4.79E-01
-0.326,0.599134375,-4.42E-01,-4.80E-01
-0.324,0.588178596,-4.44E-01,-4.81E-01
-0.322,0.576895319,-4.47E-01,-4.82E-01
-0.32,0.56529034,-4.49E-01,-4.83E-01
-0.318,0.553369645,-4.52E-01,-4.84E-01
-0.316,0.541139404,-4.54E-01,-4.85E-01
-0.314,0.528605968,-4.57E-01,-4.86E-01
-0.312,0.515775863,-4.60E-01,-4.87E-01
-0.31,0.50265579,-4.63E-01,-4.88E-01
-0.308,0.489252617,-4.66E-01,-4.89E-01
-0.306,0.475573375,-4.69E-01,-4.90E-01
-0.304,0.461625256,-4.72E-01,-4.91E-01
-0.302,0.447415607,-4.75E-01,-4.93E-01
-0.3,0.432951925,-4.78E-01,-4.94E-01
-0.298,0.418241852,-4.81E-01,-4.95E-01
-0.296,0.403293172,-4.85E-01,-4.96E-01
-0.294,0.388113803,-4.88E-01,-4.97E-01
-0.292,0.372711797,-4.91E-01,-4.98E-01
-0.29,0.35709533,-4.94E-01,-4.99E-01
-0.288,0.341272698,-4.98E-01,-5.00E-01
-0.286,0.325252313,-5.01E-01,-5.02E-01
-0.284,0.309042698,-5.05E-01,-5.03E-01
-0.282,0.292652479,-5.08E-01,-5.04E-01
-0.28,0.276090384,-5.12E-01,-5.05E-01
-0.278,0.259365232,-5.15E-01,-5.07E-01
-0.276,0.242485933,-5.19E-01,-5.08E-01
-0.274,0.225461476,-5.22E-01,-5.10E-01
-0.272,0.208300931,-5.26E-01,-5.11E-01
-0.27,0.191013437,-5.30E-01,-5.13E-01
-0.268,0.173608198,-5.33E-01,-5.14E-01
-0.266,0.15609448,-5.37E-01,-5.16E-01
-0.264,0.138481599,-5.40E-01,-5.17E-01
-0.262,0.120778924,-5.44E-01,-5.19E-01
-0.26,0.102995861,-5.48E-01,-5.21E-01
-0.258,0.085141857,-5.51E-01,-5.23E-01
-0.256,0.067226384,-5.55E-01,-5.25E-01
-0.254,0.049258943,-5.59E-01,-5.26E-01
-0.252,0.031249049,-5.62E-01,-5.28E-01
-0.25,0.013206233,-5.66E-01,-5.30E-01
-0.248,-0.00485997,-5.69E-01,-5.32E-01
-0.246,-0.022940026,-5.73E-01,-5.34E-01
-0.244,-0.041024403,-5.76E-01,-5.37E-01
-0.242,-0.059103584,-5.80E-01,-5.39E-01
-0.24,-0.07716807,-5.83E-01,-5.41E-01
-0.238,-0.095208383,-5.86E-01,-5.43E-01
-0.236,-0.113215078,-5.90E-01,-5.45E-01
-0.234,-0.131178744,-5.93E-01,-5.48E-01
-0.232,-0.149090012,-5.96E-01,-5.50E-01
-0.23,-0.166939562,-6.00E-01,-5.52E-01
-0.228,-0.184718124,-6.03E-01,-5.55E-01
